SYMBOL,NAME OF COMPANY, ISIN NUMBER
VASWANI,Vaswani Industries Limited,INE590L01019
VBL,Varun Beverages Limited,INE200M01039
VCL,Vaxtex Cotfab Limited,INE098201036
VEDL,Vedanta Limited,INE205A01025
VEEDOL,Veedol Corporation Limited,INE484C01030
VENKEYS,Venky's (India) Limited,INE398A01010
VENTIVE,Ventive Hospitality Limited,INE781S01027
VENUSPIPES,Venus Pipes & Tubes Limited,INE0JA001018
VENUSREM,Venus Remedies Limited,INE411B01019
VERANDA,Veranda Learning Solutions Limited,INE0IQ001011
VERTOZ,Vertoz Limited,INE188Y01031
VESUVIUS,Vesuvius India Limited,INE386A01023
VETO,Veto Switchgears And Cables Limited,INE918N01018
VGUARD,V-Guard Industries Limited,INE951I01027
VHL,Vardhman Holdings Limited,INE701A01023
VHLTD,Viceroy Hotels Limited,INE048C01025
VIDHIING,Vidhi Specialty Food Ingredients Limited,INE632C01026
VIJAYA,Vijaya Diagnostic Centre Limited,INE043W01024
VIJIFIN,Viji Finance Limited,INE159N01027
VIKASECO,Vikas EcoTech Limited,INE806A01020
VIKASLIFE,Vikas Lifecare Limited,INE161L01027
VIKRAMSOLR,Vikram Solar Limited,INE078V01014
VIMTALABS,Vimta Labs Limited,INE579C01029
VINATIORGA,Vinati Organics Limited,INE410B01037
VINCOFE,Vintage Coffee And Beverages Limited,INE498Q01014
VINDHYATEL,Vindhya Telelinks Limited,INE707A01012
VINEETLAB,Vineet Laboratories Limited,INE505Y01010
VINNY,Vinny Overseas Limited,INE01KI01027
VINYLINDIA,Vinyl Chemicals (India) Limited,INE250B01029
VIPCLOTHNG,VIP Clothing Limited,INE450G01024
VIPIND,VIP Industries Limited,INE054A01027
VIPULLTD,Vipul Limited,INE946H01037
VIRINCHI,Virinchi Limited,INE539B01017
VISAKAIND,Visaka Industries Limited,INE392A01021
VISASTEEL,Visa Steel Limited,INE286H01012
VISHNU,Vishnu Chemicals Limited,INE270I01022
VISHWARAJ,Vishwaraj Sugar Industries Limited,INE430N01022
VIVIDHA,Visagar Polytex Limited,INE370E01029
VLEGOV,VL E-Governance & IT Solutions Limited,INE03HW01020
VLSFINANCE,VLS Finance Limited,INE709A01018
VMART,V-Mart Retail Limited,INE665J01013
VMM,Vishal Mega Mart Limited,INE01EA01019
VOLTAMP,Voltamp Transformers Limited,INE540H01012
VOLTAS,Voltas Limited,INE226A01021
VPRPL,Vishnu Prakash R Punglia Limited,INE0AE001013
VRAJ,Vraj Iron and Steel Limited,INE0S2V01010
VRLLOG,VRL Logistics Limited,INE366I01010
VSSL,Vardhman Special Steels Limited,INE050M01012
VSTIND,VST Industries Limited,INE710A01016
VSTL,Vibhor Steel Tubes Limited,INE0QTF01015
VSTTILLERS,V.S.T Tillers Tractors Limited,INE764D01017
VTL,Vardhman Textiles Limited,INE825A01020
WAAREEENER,Waaree Energies Limited,INE377N01017
WAAREERTL,Waaree Renewable Technologies Limited,INE299N01021
WABAG,VA Tech Wabag Limited,INE956G01038
WALCHANNAG,Walchandnagar Industries Limited,INE711A01022
WANBURY,Wanbury Limited,INE107F01022
WCIL,Western Carriers (India) Limited,INE0CJF01024
WEALTH,Wealth First Portfolio Managers Limited,INE658T01017
WEBELSOLAR,Websol Energy System Limited,INE855C01015
WEIZMANIND,Weizmann Limited,INE080A01014
WEL,Wonder Electricals Limited,INE02WG01024
WELCORP,Welspun Corp Limited,INE191B01025
WELENT,Welspun Enterprises Limited,INE625G01013
WELINV,Welspun Investments and Commercials Limited,INE389K01018
WELSPUNLIV,Welspun Living Limited,INE192B01031
WENDT,Wendt (India) Limited,INE274C01019
WESTLIFE,WESTLIFE FOODWORLD LIMITED,INE274F01020
WEWIN,WE WIN LIMITED,INE082W01014
WHEELS,Wheels India Limited,INE715A01015
WHIRLPOOL,Whirlpool of India Limited,INE716A01013
WILLAMAGOR,Williamson Magor & Company Limited,INE210A01017
WINDLAS,Windlas Biotech Limited,INE0H5O01029
WINDMACHIN,Windsor Machines Limited,INE052A01021
WINSOME,Winsome Yarns Limited,INE784B01035
WIPL,The Western India Plywoods Limited,INE215F01023
WIPRO,Wipro Limited,INE075A01022
WOCKPHARMA,Wockhardt Limited,INE049B01025
WONDERLA,Wonderla Holidays Limited,INE066O01014
WORTH,Worth Peripherals Limited,INE196Y01018
WSI,W S Industries (I) Limited,INE100D01014
WSTCSTPAPR,West Coast Paper Mills Limited,INE976A01021
XCHANGING,Xchanging Solutions Limited,INE692G01013
XELPMOC,Xelpmoc Design And Tech Limited,INE01P501012
XPROINDIA,Xpro India Limited,INE445C01015
XTGLOBAL,Xtglobal Infotech Limited,INE547B01028
YAARI,Yaari Digital Integrated Services Limited,INE126M01010
YASHO,Yasho Industries Limited,INE616Z01012
YATHARTH,Yatharth Hospital & Trauma Care Services Limited,INE0JO301016
YATRA,Yatra Online Limited,INE0JR601024
YESBANK,Yes Bank Limited,INE528G01035
YUKEN,Yuken India Limited,INE384C01016
ZAGGLE,Zaggle Prepaid Ocean Services Limited,INE07K301024
ZEEL,Zee Entertainment Enterprises Limited,INE256A01028
ZEELEARN,Zee Learn Limited,INE565L01011
ZEEMEDIA,Zee Media Corporation Limited,INE966H01019
ZENITHEXPO,Zenith Exports Limited,INE058B01018
ZENITHSTL,Zenith Steel Pipes & Industries Limited,INE318D01020
ZENSARTECH,Zensar Technologies Limited,INE520A01027
ZENTEC,Zen Technologies Limited,INE251B01027
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,INE342J01019
ZIMLAB,Zim Laboratories Limited,INE518E01015
ZODIAC,Zodiac Energy Limited,INE761Y01019
ZODIACLOTH,Zodiac Clothing Company Limited,INE206B01013
ZOTA,Zota Health Care LImited,INE358U01012
ZUARI,Zuari Agro Chemicals Limited,INE840M01016
ZUARIIND,ZUARI INDUSTRIES LIMITED,INE217A01012
ZYDUSLIFE,Zydus Lifesciences Limited,INE010B01027
ZYDUSWELL,Zydus Wellness Limited,INE768C01010
